name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,loan
Trent Alexander-Arnold,Right-Back,26,€75.00m,England,Premier League,Liverpool FC,Spain,LaLiga,Real Madrid,10.0,False
Matheus Cunha,Second Striker,26,€60.00m,England,Premier League,Wolverhampton Wanderers,England,Premier League,Manchester United,74.2,False
Dean Huijsen,Centre-Back,20,€60.00m,England,Premier League,AFC Bournemouth,Spain,LaLiga,Real Madrid,62.5,False
Estêvão,Right Winger,18,€60.00m,Brazil,Série A,Sociedade Esportiva Palmeiras,England,Premier League,Chelsea FC,34.0,False
Tijjani Reijnders,Central Midfield,26,€50.00m,Italy,Serie A,AC Milan,England,Premier League,Manchester City,55.0,False
Jeremie Frimpong,Right-Back,24,€50.00m,Germany,Bundesliga,Bayer 04 Leverkusen,England,Premier League,Liverpool FC,40.0,False
Franco Mastantuono,Right Winger,18,€30.00m,Argentina,Torneo Apertura,CA River Plate,Spain,LaLiga,Real Madrid,45.0,False
Rayan Cherki,Right Winger,21,€45.00m,France,Ligue 1,Olympique Lyon,England,Premier League,Manchester City,36.5,False
Jean-Clair Todibo,Centre-Back,25,€25.00m,France,Ligue 1,OGC Nice,England,Premier League,West Ham United,40.0,False
Liam Delap,Centre-Forward,22,€40.00m,England,Premier League,Ipswich Town,England,Premier League,Chelsea FC,35.5,False
Rayan Aït-Nouri,Left-Back,24,€35.00m,England,Premier League,Wolverhampton Wanderers,England,Premier League,Manchester City,36.8,False
Mathys Tel,Centre-Forward,20,€35.00m,Germany,Bundesliga,Bayern Munich,England,Premier League,Tottenham Hotspur,35.0,False
Charalampos Kostoulas,Centre-Forward,18,€12.00m,Greece,Super League 1,Olympiacos Piraeus,England,Premier League,Brighton & Hove Albion,35.0,False
Mohamed Amoura,Centre-Forward,25,€32.00m,Belgium,Jupiler Pro League,Union Saint-Gilloise,Germany,Bundesliga,VfL Wolfsburg,14.75,False
Leroy Sané,Right Winger,29,€32.00m,Germany,Bundesliga,Bayern Munich,Türkiye,Süper Lig,Galatasaray,0,False
Jobe Bellingham,Central Midfield,19,€22.00m,England,Championship,Sunderland AFC,Germany,Bundesliga,Borussia Dortmund,30.5,False
Jonathan Tah,Centre-Back,29,€30.00m,Germany,Bundesliga,Bayer 04 Leverkusen,Germany,Bundesliga,Bayern Munich,800k,False
Tom Bischof,Central Midfield,19,€30.00m,Germany,Bundesliga,TSG 1899 Hoffenheim,Germany,Bundesliga,Bayern Munich,300k,False
Nico González,Right Winger,27,€24.00m,Italy,Serie A,ACF Fiorentina,Italy,Serie A,Juventus FC,28.1,False
Pierre Kalulu,Centre-Back,25,€26.00m,Italy,Serie A,AC Milan,Italy,Serie A,Juventus FC,14.3,False
Yan Couto,Right-Back,23,€20.00m,England,Premier League,Manchester City,Germany,Bundesliga,Borussia Dortmund,25.0,False
Joan García,Goalkeeper,24,€25.00m,Spain,LaLiga,RCD Espanyol Barcelona,Spain,LaLiga,FC Barcelona,25.0,False
Kevin Danso,Centre-Back,26,€25.00m,France,Ligue 1,RC Lens,England,Premier League,Tottenham Hotspur,25.0,False
Luis Henrique,Right Midfield,23,€25.00m,France,Ligue 1,Olympique Marseille,Italy,Serie A,Inter Milan,23.0,False
Odilon Kossounou,Centre-Back,24,€25.00m,Germany,Bundesliga,Bayer 04 Leverkusen,Italy,Serie A,Atalanta BC,20.0,False
Alberto Moleiro,Left Winger,21,€25.00m,Spain,LaLiga2,UD Las Palmas,Spain,LaLiga,Villarreal CF,16.0,False
Nuno Tavares,Left-Back,25,€25.00m,England,Premier League,Arsenal FC,Italy,Serie A,SS Lazio,5.0,False
Enzo Le Fée,Central Midfield,25,€18.00m,Italy,Serie A,AS Roma,England,Premier League,Sunderland AFC,23.0,False
Dário Essugo,Defensive Midfield,20,€20.00m,Portugal,Liga Portugal,Sporting CP,England,Premier League,Chelsea FC,22.27,False
Arthur Vermeeren,Defensive Midfield,20,€22.00m,Spain,LaLiga,Atlético de Madrid,Germany,Bundesliga,RB Leipzig,20.0,False
Martin Baturina,Attacking Midfield,22,€22.00m,Croatia,SuperSport HNL,GNK Dinamo Zagreb,Italy,Serie A,Como 1907,18.0,False
Chrislain Matsima,Centre-Back,23,€22.00m,Monaco,Ligue 1,AS Monaco,Germany,Bundesliga,FC Augsburg,5.0,False
Caoimhín Kelleher,Goalkeeper,26,€20.00m,England,Premier League,Liverpool FC,England,Premier League,Brentford FC,14.8,False
Mamadou Sarr,Centre-Back,19,€20.00m,France,Ligue 1,RC Strasbourg Alsace,England,Premier League,Chelsea FC,14.0,False
Pierre-Emile Højbjerg,Defensive Midfield,29,€20.00m,England,Premier League,Tottenham Hotspur,France,Ligue 1,Olympique Marseille,13.5,False
Angel Gomes,Attacking Midfield,24,€20.00m,France,Ligue 1,LOSC Lille,France,Ligue 1,Olympique Marseille,0,False
Kevin De Bruyne,Attacking Midfield,34,€20.00m,England,Premier League,Manchester City,Italy,Serie A,SSC Napoli,0,False
Michael Kayode,Right-Back,20,€18.00m,Italy,Serie A,ACF Fiorentina,England,Premier League,Brentford FC,17.5,False
Gabri Veiga,Attacking Midfield,23,€18.00m,Saudi Arabia,Saudi Pro League,Al-Ahli SFC,Portugal,Liga Portugal,FC Porto,15.0,False
Michele Di Gregorio,Goalkeeper,27,€18.00m,Italy,Serie B,AC Monza,Italy,Serie A,Juventus FC,14.3,False
Nicolò Fagioli,Central Midfield,24,€18.00m,Italy,Serie A,Juventus FC,Italy,Serie A,ACF Fiorentina,13.5,False
Lloyd Kelly,Centre-Back,26,€16.00m,England,Premier League,Newcastle United,Italy,Serie A,Juventus FC,17.2,False
Lazar Samardžić,Attacking Midfield,23,€17.00m,Italy,Serie A,Udinese Calcio,Italy,Serie A,Atalanta BC,14.8,False
Sofyan Amrabat,Defensive Midfield,28,€17.00m,Italy,Serie A,ACF Fiorentina,Türkiye,Süper Lig,Fenerbahce,12.0,False
Ezechiel Banzuzi,Central Midfield,20,€13.00m,Belgium,Jupiler Pro League,Oud-Heverlee Leuven,Germany,Bundesliga,RB Leipzig,16.0,False
Sem Steijn,Attacking Midfield,23,€16.00m,Netherlands,Eredivisie,Twente Enschede FC,Netherlands,Eredivisie,Feyenoord Rotterdam,10.0,False
CJ Egan-Riley,Centre-Back,22,€16.00m,England,Premier League,Burnley FC,France,Ligue 1,Olympique Marseille,0,False
Gabriel Carvalho,Right Winger,18,€12.00m,Brazil,Série A,Sport Club Internacional,Saudi Arabia,Without League,Al-Qadsiah FC,15.6,False
Carlos Alcaraz,Central Midfield,22,€14.00m,Brazil,Série A,CR Flamengo,England,Premier League,Everton FC,15.0,False
Adrien Truffert,Left-Back,23,€15.00m,France,Ligue 1,Stade Rennais FC,England,Premier League,AFC Bournemouth,13.5,False
Saïd Benrahma,Left Winger,29,€15.00m,France,Ligue 1,Olympique Lyon,Saudi Arabia,Without League,NEOM SC,12.0,False
Jonathan Rowe,Left Winger,22,€12.00m,England,Championship,Norwich City,France,Ligue 1,Olympique Marseille,14.5,False
Petar Sučić,Defensive Midfield,21,€14.00m,Croatia,SuperSport HNL,GNK Dinamo Zagreb,Italy,Serie A,Inter Milan,14.0,False
